ref_id,tradition,source_text,author,citation,language,date_ce,date_label,passage_text,nusantara_relevance,independence_group,scholarly_consensus,n_entities,notes
LNG-009,LINGUISTIC,Malay-Polynesian *tanah 'earth/land' semantic field,Blust & Trussel (ACD); Adelaar 2005,Austronesian Comparative Dictionary (online); Adelaar in Adelaar & Himmelmann 2005,Proto-Malayo-Polynesian,-2000,~2000 BCE (PMP period),"PMP *taneq 'earth, soil, land' (Blust ACD) is reflected in Malay tanah, Javanese lemah, Tagalog lupa (< *lupaq), and Fijian vanua (< *banua, overlapping semantic field). The term encompasses both 'soil/ground' and 'inhabited territory', a polysemy that reveals the Austronesian conflation of land-as-substance with land-as-homeland. Adelaar (2005) notes that in western Malayo-Polynesian languages, *taneq derivatives frequently appear in compound terms for burial (tanah kubur), volcanic soil (tanah gunung), and agricultural fertility (tanah subur), suggesting that the semantic field encoded awareness of the connection between geological substrate and human livelihood since proto-language times.",HIGH,linguistic,CONSENSUS,4,"VOLCARCH: *taneq semantic field links soil, burial, and volcanic substrate in a single Austronesian concept. Direct evidence for indigenous awareness of geological processes."
CHEM-002,CHEMICAL,Terqa clove find,Buccellati excavation team,"Reported in Turner 2004, Dalby 2000",n/a,-1700,~1700 BCE (Old Babylonian period),"Charred clove buds (Syzygium aromaticum) recovered from a domestic context at Tell Ashara (ancient Terqa), middle Euphrates, Syria. Radiocarbon dating places the context in the early 2nd millennium BCE.",HIGH,chemical,CONTESTED,2,"Identification debated. If confirmed, earliest transport of exclusively Nusantaran product to Mediterranean. Cloves grow NOWHERE else naturally."
LNG-007,LINGUISTIC,Proto-Oceanic *api 'fire' cognates and volcanic landscape terms,Blust 1999; Ross et al. 2003,"Blust, Subgrouping, circularity and extinction (LI 30:1); Ross, Pawley & Osmond 2003 (Oceanic Lexicon Project)",Proto-Oceanic / Proto-Malayo-Polynesian,-1500,~1500 BCE (Proto-Oceanic dispersal),"Proto-Malayo-Polynesian *hapuy 'fire' and its Oceanic reflex *api are retained across virtually all daughter languages from Madagascar to Polynesia. The Oceanic Lexicon Project (Ross et al. 2003) reconstructs a cluster of landscape terms including *bwatu 'stone', *tanoq 'earth/soil', and *qulu 'mountain/summit', showing that speakers of Proto-Oceanic possessed a full vocabulary for volcanic landscapes. Blust (1999) notes that the dispersal corridor of Oceanic languages runs directly through the Bismarck volcanic arc, suggesting continuous exposure to volcanism throughout the Austronesian expansion.",MEDIUM,linguistic,CONSENSUS,4,"VOLCARCH: Austronesian dispersal through volcanic arcs shaped the ancestral lexicon. Proto-forms for fire, stone, earth, mountain = deep-time volcanic landscape awareness."
CHEM-011,CHEMICAL,Uluburun shipwreck — tin ingots,Pulak 2001,American Journal of Archaeology 102: 188-224,n/a,-1300,~1300 BCE (Late Bronze Age),"The Uluburun shipwreck, dated ~1300 BCE off the Turkish coast, contained one ton of tin ingots. Lead isotope analysis suggests some tin may have originated from Southeast Asia, specifically from the tin belt spanning Thailand, Malaysia, and Indonesia (Bangka-Belitung).",MEDIUM,chemical,CONTESTED,3,"SE Asian tin origin is one hypothesis among several. If confirmed, would push Nusantaran trade to Bronze Age."
CHEM-003,CHEMICAL,Austronesian crop dispersal to South Asia,Crowther et al. 2016; Fuller et al. 2011,PNAS 113(24): 6635-6640,n/a,-1050,~1500-600 BCE,"Archaeobotanical evidence for introduction of coconut (Cocos nucifera), banana (Musa spp.), taro (Colocasia esculenta), and sandalwood (Santalum album) to South India and Sri Lanka. Outrigger boat (katamaran < Tamil kattumaram) technology appears simultaneously.",HIGH,chemical,CONSENSUS,4,"Multiple independent lines (phytoliths, genetics, linguistics). Implies organized recurring Austronesian maritime contact with South Asia by mid-2nd millennium BCE."
CHEM-004,CHEMICAL,Cinnamon/cassia in Egyptian-Phoenician trade,van der Veen 2011; Cappers 2006,"van der Veen, Consumption, Trade and Innovation (2011)",n/a,-1000,~1000 BCE onwards,"Cinnamomum verum (Sri Lanka) and C. cassia (South China/Vietnam) identified in Egyptian contexts. Papyrus Harris I (Ramesses III, ~1155 BCE) lists 'ti-sps' among temple offerings. Herodotus (Hist. 3.111) describes cinnamon harvested from 'great birds' nests' — classic intermediary obfuscation of source.",MEDIUM,chemical,PROBABLE,3,"Cinnamon is not exclusively Nusantaran (Sri Lanka), but its presence implies Indian Ocean trade networks that include Nusantara."
CHEM-001,CHEMICAL,Saqqara embalming workshop vessels,Rageot et al. 2023,Nature 614: 287-293,n/a,-594,664-525 BCE (26th Dynasty),Vessel 5 (inscribed 'antiu'): GC-MS identified triterpenoids diagnostic of Dipterocarpaceae (dammar) resin. Vessel 62: Canarium sp. (elemi) resin identified via oleanane/ursane-type triterpenoids. Both taxa are restricted to Southeast Asia and tropical Africa/Asia respectively.,HIGH,chemical,CONSENSUS,4,Peer-reviewed in Nature. GC-MS is unambiguous for Dipterocarpaceae. This is the strongest single piece of evidence for pre-classical Nusantaran long-distance trade.
LING-001,LINGUISTIC,Camphor etymology chain,"Multiple linguists (Mahdi, Adelaar, Blench)","Mahdi 1994, Adelaar 1995",Multiple,-500,~500 BCE (estimated initial borrowing),"Malay 'kapur Barus' → Sanskrit 'karpūra' → Arabic 'kāfūr' → Medieval Latin 'camphora'. The loanword chain is unidirectional: Malay to Sanskrit to Arabic to Latin. This demonstrates that the product AND its name originated in Nusantara (specifically Barus, North Sumatra) and were transmitted westward through trade networks.",HIGH,linguistic,CONSENSUS,2,Unidirectional loanword chain = evidence of Nusantaran-origin commodity entering global trade. Dryobalanops camphor is EXCLUSIVELY from Sumatra/Borneo.
CHM-019,CHEMICAL,Kalanay pottery tradition — Philippines-Sulawesi exchange,Solheim 1964; Bellwood 2007,"Solheim, The Archaeology of Central Philippines (NM Mono. 10); Bellwood, Prehistory of the Indo-Malaysian Archipelago (ANU E-Press)",n/a,-500,~500 BCE - 200 CE (Kalanay phase),"The Kalanay cave site on Masbate Island yielded a distinctive pottery assemblage characterized by incised curvilinear designs, lime-infilled decoration, and angular vessel profiles. Solheim identified stylistic parallels with pottery from Sulawesi (Kalumpang), Sabah (Tapadong), and southern Vietnam, proposing a 'Sa Huynh-Kalanay' interaction sphere spanning the southern Philippines, eastern Borneo, and Sulawesi. Subsequent AMS dating places the main Kalanay phase at 500 BCE to 200 CE, contemporary with early metal-age exchange networks.",HIGH,chemical,PROBABLE,4,Solheim's Sa Huynh-Kalanay interaction sphere is partly debated but the stylistic parallels are real. Connects Philippines to Sulawesi/Borneo in pre-Indianized period.
IND-P01,INDIAN_PALI,Supparaka Jataka (no. 463),"Anonymous (Pali canon, Khuddaka Nikaya)",Jataka III.188-193 (Fausbøll ed.),Pali,-350,~4th-3rd century BCE (oral tradition older),"The Bodhisattva as the blind navigator Supparaka guides merchants through perilous seas. They pass the Sea of Kusamala (bamboo), Sea of Nalakamala (reeds), Sea of Daddhamala (curds — white foam), and reach the Sea of Gold (suvannamaya-vālikā). 'They saw the ocean as if boiling, and it was gold-colored.' The merchants fill their ship with gold and jewels.",HIGH,indian,PROBABLE,2,The Jataka tales encode real maritime knowledge in story form. Supparaka's voyage matches Indian Ocean sailing directions (east from India).
