world,config,hard_frac,algorithm,n_observed,obs_region0_share,auc_own,auc_true,map_jaccard,spearman_full,spearman_remote
0,random,-1.0,maxent,314,0.4140127388535032,0.8254639318423795,0.8270568564789537,0.5780056235621575,0.9670484184256719,0.9635340881111701
0,random,-1.0,xgboost,314,0.4140127388535032,0.8037017610771937,0.7972388041937247,0.38095593169785996,0.9193343332772493,0.9215838622377625
0,random,-1.0,randomforest,314,0.4140127388535032,0.8234604344326147,0.819675971527546,0.5156929876011076,0.9532894451151779,0.9137734230239362
0,tgb,-1.0,maxent,314,0.4140127388535032,0.8382626645055673,0.8272079392914241,0.5430118725265569,0.9651768900582903,0.967475905911335
0,tgb,-1.0,xgboost,314,0.4140127388535032,0.7975294585928168,0.7985374264988648,0.34298594409059596,0.9224017046432165,0.9177606136156293
0,tgb,-1.0,randomforest,314,0.4140127388535032,0.8227947017313252,0.8222371228713181,0.47153470263398356,0.9550742699487705,0.9219841957070976
0,hybrid,0.0,maxent,314,0.4140127388535032,0.7222466771945046,0.5016950425575514,0.0,-0.4603957665716626,-0.7508937004239682
0,hybrid,0.0,xgboost,314,0.4140127388535032,0.6830255829004741,0.5602998250641538,0.00023403604155039875,-0.23167892871067106,-0.7117158562924687
0,hybrid,0.0,randomforest,314,0.4140127388535032,0.7211525705753362,0.5933818879076713,0.0,-0.15355284198021543,-0.6608240357655218
0,hybrid,0.3,maxent,314,0.4140127388535032,0.7738937116822807,0.512259576319574,0.00045016656162780226,-0.4371205073161217,-0.746189114755512
0,hybrid,0.3,xgboost,314,0.4140127388535032,0.7362800011328849,0.5861387465546934,0.0023091355173906767,-0.1663444906299633,-0.7008879741383727
0,hybrid,0.3,randomforest,314,0.4140127388535032,0.7688253449903328,0.6244587621060872,8.999361045365779e-06,-0.10519938115833512,-0.6345711464812956
0,hybrid,0.7,maxent,314,0.4140127388535032,0.827990938374114,0.510293411082064,1.799888406918771e-05,-0.41390986077596603,-0.7486600812548285
0,hybrid,0.7,xgboost,314,0.4140127388535032,0.802202511062605,0.6071695833204295,0.019393427884703593,-0.1440085569841682,-0.6887863576018718
0,hybrid,0.7,randomforest,314,0.4140127388535032,0.8221313178968103,0.643913424852945,0.004792476715797089,-0.0581676507998611,-0.6286750243852317
0,hybrid,1.0,maxent,314,0.4140127388535032,0.8761586992035397,0.5738289986390404,0.04509757818010816,-0.1578000375524167,-0.6476494996045525
0,hybrid,1.0,xgboost,314,0.4140127388535032,0.8656098869261573,0.6397329022895031,0.11405197305101059,0.05383157463889054,-0.6059069687549158
0,hybrid,1.0,randomforest,314,0.4140127388535032,0.8752927504932515,0.6623056191415833,0.09022408853655665,0.04333246454598781,-0.6160065947407797
1,random,-1.0,maxent,319,0.4231974921630094,0.8262374768379764,0.8408794743600501,0.641019582361107,0.9441877968269828,0.9258014233928149
1,random,-1.0,xgboost,319,0.4231974921630094,0.7899924055606101,0.8065375463563449,0.37283486941266586,0.8939566452886628,0.8793064469175981
1,random,-1.0,randomforest,319,0.4231974921630094,0.8112595629585438,0.8345568002706841,0.5314644835855453,0.9467134439283547,0.8952201469980982
1,tgb,-1.0,maxent,319,0.4231974921630094,0.8334946334038236,0.8440181772988007,0.6548026805658973,0.9438770167346919,0.8759971503626474
1,tgb,-1.0,xgboost,319,0.4231974921630094,0.8007186216008334,0.8090672674867949,0.3810417469332969,0.8998669819900844,0.8808775567036684
1,tgb,-1.0,randomforest,319,0.4231974921630094,0.8161246670828237,0.8355590487496052,0.6189990529613171,0.9438772855936635,0.89467035608816
1,hybrid,0.0,maxent,319,0.4231974921630094,0.7606310926550104,0.6034464360078197,8.999361045365779e-06,-0.1436111832168198,-0.6415996892699437
1,hybrid,0.0,xgboost,319,0.4231974921630094,0.7157002271305307,0.6536714830710422,0.045107407546743916,0.017542966703229343,-0.5413819709085192
1,hybrid,0.0,randomforest,319,0.4231974921630094,0.7380325680890758,0.6910946703941356,0.3629004562625717,0.13273352063040608,-0.5139967305218733
1,hybrid,0.3,maxent,319,0.4231974921630094,0.7947295418807784,0.5966040969467425,0.0016044419606641308,-0.1239764390127714,-0.6183731098359656
1,hybrid,0.3,xgboost,319,0.4231974921630094,0.7506033643218283,0.6374858917866181,0.045736871823828344,-0.013796030547180527,-0.577271109632503
1,hybrid,0.3,randomforest,319,0.4231974921630094,0.7715738856552019,0.6709711204466198,0.20057046544794502,0.06712673684606665,-0.5563610857937205
