surface,world,algorithm,Rown_pick,Rown_picks_hybrid1.0,cost_true,cost_map,boyce_vs_map_spearman,boyce_vs_auctrue_spearman
A_observed,0,maxent,hybrid(1.0),True,0.2893796467518187,0.6824748194921477,-0.33394720739540396,-0.48571428571428577
A_observed,0,randomforest,hybrid(1.0),True,0.2575659529030945,0.6496926868374951,0.7775419143502353,1.0
A_observed,0,xgboost,hybrid(1.0),True,0.21044312812717292,0.352404129881281,0.48571428571428577,0.6
A_observed,1,maxent,hybrid(1.0),True,0.30853279209290463,0.8266643102314895,0.5428571428571429,0.3714285714285715
A_observed,1,randomforest,hybrid(1.0),True,0.19077903733827783,0.33509016143148085,0.942857142857143,0.942857142857143
A_observed,1,xgboost,hybrid(1.0),True,0.2201937475717789,0.5952912377283351,0.5161002296110789,0.6
A_observed,2,maxent,hybrid(1.0),True,0.242831076862834,0.7784095436824867,0.2898855178262242,0.028571428571428574
A_observed,2,randomforest,hybrid(1.0),True,0.16181808310485246,0.25098481333279193,0.5428571428571429,0.4285714285714286
A_observed,2,xgboost,hybrid(1.0),True,0.15708228873971497,0.45888595224931644,0.6,0.6571428571428573
A_observed,3,maxent,hybrid(1.0),True,0.3097193512798564,0.7708994526656148,0.2898855178262242,-0.08571428571428573
A_observed,3,randomforest,hybrid(1.0),True,0.1741628296094041,0.417926070767703,0.6571428571428573,0.7714285714285715
A_observed,3,xgboost,hybrid(1.0),True,0.20993466115950754,0.512301738760825,0.2571428571428572,0.48571428571428577
A_observed,4,maxent,hybrid(1.0),True,0.29195688073204207,0.8521356097061912,-0.028571428571428574,-0.2571428571428572
A_observed,4,randomforest,hybrid(1.0),True,0.12310729554168953,0.23507096035693809,0.5428571428571429,0.3714285714285715
A_observed,4,xgboost,hybrid(1.0),True,0.1545832642820758,0.48032839262452953,0.7714285714285715,1.0
A_observed,5,maxent,hybrid(1.0),True,0.27772706462498054,0.8157129617539283,0.08571428571428573,-0.028571428571428574
A_observed,5,randomforest,hybrid(1.0),True,0.15951981179125008,0.30493717463922043,0.7142857142857143,0.8285714285714287
A_observed,5,xgboost,hybrid(1.0),True,0.1986821938806389,0.569193543502732,0.8196885999705371,0.8285714285714287
A_observed,6,maxent,hybrid(1.0),True,0.3043171739089343,0.8041366962492201,0.14285714285714288,0.2571428571428572
A_observed,6,randomforest,hybrid(1.0),True,0.1773665136595458,0.43462784611380256,0.6,0.8285714285714287
A_observed,6,xgboost,hybrid(1.0),True,0.18648215531186008,0.379296593100691,0.3714285714285715,0.6
